iter	Passed	Remaining
902	53253	5720
903	53307	5660
904	53367	5602
905	53416	5542
906	53474	5483
907	53533	5424
908	53589	5364
909	53642	5305
910	53698	5246
911	53749	5186
912	53798	5126
913	53844	5066
914	53899	5007
915	53948	4947
916	54011	4888
917	54078	4830
918	54179	4775
919	54240	4716
920	54288	4656
921	54350	4597
922	54403	4538
923	54464	4479
924	54512	4419
925	54564	4360
926	54614	4300
927	54688	4243
928	54740	4183
929	54800	4124
930	54859	4065
931	54904	4005
932	54955	3946
933	55007	3887
934	55071	3828
935	55140	3770
936	55198	3711
937	55271	3653
938	55336	3594
939	55387	3535
940	55445	3476
941	55506	3417
942	55554	3358
943	55609	3298
944	55661	3239
945	55718	3180
946	55793	3122
947	55850	3063
948	55912	3004
949	55966	2945
950	56020	2886
951	56071	2827
952	56144	2768
953	56194	2709
954	56252	2650
955	56316	2591
956	56369	2532
957	56426	2473
958	56485	2414
959	56534	2355
960	56592	2296
961	56658	2238
962	56710	2178
963	56764	2119
964	56811	2060
965	56878	2001
966	56947	1943
967	56997	1884
968	57041	1824
969	57102	1766
970	57154	1706
971	57216	1648
972	57269	1589
973	57319	1530
974	57378	1471
975	57427	1412
976	57490	1353
977	57549	1294
978	57610	1235
979	57674	1177
980	57732	1118
981	57795	1059
982	57848	1000
983	57901	941
984	57946	882
985	57997	823
986	58059	764
987	58126	705
988	58179	647
989	58248	588
990	58308	529
991	58362	470
992	58422	411
993	58480	353
994	58536	294
995	58591	235
996	58649	176
997	58711	117
998	58768	58
999	58823	0
